2018-06-07 13:08:19.185 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.185 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.185 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.185 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.185 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.185 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.186 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.186 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.186 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.186 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.186 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.186 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.186 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.187 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.188 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.188 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.188 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.188 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.188 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.188 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.190 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.190 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.191 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.191 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.191 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.192 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.192 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.192 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.192 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.193 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.194 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.194 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.194 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.194 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
